delivery_id,created_at,food_ready_time,region_id,pickup_lat,pickup_long,dropoff_lat,dropoff_long
1,2/3/15 2:00,2/3/15 2:13,82,37.4782228,-122.1867856,37.45738,-122.153508
2,2/3/15 2:00,2/3/15 2:10,70,37.401156,-122.112309,37.4192559,-122.1495572
3,2/3/15 2:01,2/3/15 2:27,82,37.446389,-122.1610189,37.4526848,-122.138039
4,2/3/15 2:01,2/3/15 2:29,82,37.4455775,-122.1613168,37.4221849,-122.2031309
5,2/3/15 2:02,2/3/15 2:25,82,37.4522543,-122.1825002,37.4188429,-122.2092006
6,2/3/15 2:02,2/3/15 2:32,82,37.4442876,-122.161778,37.449861,-122.180814
7,2/3/15 2:02,2/3/15 2:30,9,37.5067563,-122.2604517,37.4940349,-122.257048
8,2/3/15 2:02,2/3/15 2:25,9,37.5092377,-122.2606337,37.479367,-122.235457
9,2/3/15 2:02,2/3/15 2:27,70,37.39422,-122.0788802,37.38992,-122.0704
10,2/3/15 2:02,2/3/15 2:27,9,37.5791475,-122.3456234,37.575173,-122.386341
11,2/3/15 2:03,2/3/15 2:26,82,37.4450091,-122.1631489,37.423057,-122.141188
12,2/3/15 2:03,2/3/15 2:40,70,37.3641338,-122.0279893,37.4046359,-122.0094348
13,2/3/15 2:03,2/3/15 2:34,70,37.394518,-122.0786507,37.349418,-122.073672
14,2/3/15 2:03,2/3/15 2:24,70,37.379762,-122.1144912,37.357282,-122.105904
15,2/3/15 2:03,2/3/15 2:23,82,37.4518897,-122.1852925,37.426648,-122.155719
16,2/3/15 2:04,2/3/15 2:26,9,37.5128545,-122.2662709,37.545995,-122.277334
17,2/3/15 2:04,2/3/15 2:35,82,37.450462,-122.18513,37.430479,-122.220563
18,2/3/15 2:04,2/3/15 2:19,82,37.4617731,-122.1599542,37.43170357,-122.1887306
19,2/3/15 2:04,2/3/15 2:32,70,37.3903623,-122.0419328,37.3527887,-122.0176287
20,2/3/15 2:04,2/3/15 2:30,82,37.450462,-122.18513,37.464466,-122.156751
21,2/3/15 2:05,2/3/15 2:30,82,37.4137395,-122.125722,37.42403343,-122.1476435
22,2/3/15 2:05,2/3/15 2:11,82,37.4178933,-122.1316309,37.4288846,-122.1443671
23,2/3/15 2:05,2/3/15 2:34,70,37.402987,-122.1066707,37.4074362,-122.0617916
24,2/3/15 2:06,2/3/15 2:31,70,37.3977689,-122.075952,37.392137,-122.0655334
25,2/3/15 2:06,2/3/15 2:55,82,37.469755,-122.223439,37.4849829,-122.183436
26,2/3/15 2:07,2/3/15 2:37,82,37.4388811,-122.1593215,37.42477457,-122.1979623
27,2/3/15 2:07,2/3/15 2:50,9,37.5659436,-122.3225714,37.56655,-122.339398
28,2/3/15 2:07,2/3/15 2:31,82,37.445717,-122.162173,37.45917821,-122.1413407
29,2/3/15 2:08,2/3/15 2:36,70,37.392131,-122.079249,37.39900588,-122.0634327
30,2/3/15 2:08,2/3/15 2:37,70,37.4162683,-122.0795184,37.37870212,-122.0781505
31,2/3/15 2:08,2/3/15 2:29,70,37.377018,-122.0767202,37.386648,-122.057361
32,2/3/15 2:08,2/3/15 2:37,82,37.447061,-122.160918,37.40790179,-122.1256728
33,2/3/15 2:08,2/3/15 2:32,82,37.443701,-122.162086,37.442859,-122.193651
34,2/3/15 2:09,2/3/15 2:37,82,37.4866886,-122.2272665,37.477664,-122.175485
35,2/3/15 2:09,2/3/15 2:33,82,37.4388811,-122.1593215,37.458211,-122.156036
36,2/3/15 2:09,2/3/15 2:32,82,37.41557912,-122.129079,37.4593237,-122.1417567
37,2/3/15 2:09,2/3/15 2:26,82,37.438881,-122.159322,37.42591898,-122.1645391
38,2/3/15 2:10,2/3/15 2:33,82,37.445717,-122.162173,37.4550534,-122.1683113
39,2/3/15 2:10,2/3/15 2:36,70,37.3947415,-122.0786015,37.390898,-122.078964
40,2/3/15 2:10,2/3/15 2:51,70,37.3710655,-122.0471774,37.35373783,-122.0391135
41,2/3/15 2:11,2/3/15 2:36,70,37.4010407,-122.114501,37.4489621,-122.1544868
42,2/3/15 2:11,2/3/15 2:44,70,37.401584,-122.112278,37.392764,-122.065233
43,2/3/15 2:11,2/3/15 2:34,82,37.443701,-122.162086,37.4209848,-122.2107413
44,2/3/15 2:11,2/3/15 2:45,70,37.3947415,-122.0786015,37.41586,-122.093151
45,2/3/15 2:12,2/3/15 2:39,82,37.4447278,-122.1650292,37.452955,-122.181766
46,2/3/15 2:12,2/3/15 2:40,82,37.4778126,-122.2230701,37.490217,-122.257694
47,2/3/15 2:12,2/3/15 2:30,70,37.39422,-122.0788802,37.369124,-122.068646
48,2/3/15 2:12,2/3/15 2:29,82,37.4518897,-122.1852925,37.4310054,-122.1879668
49,2/3/15 2:12,2/3/15 3:05,82,37.4443181,-122.163014,37.4188429,-122.2092006
50,2/3/15 2:12,2/3/15 2:33,82,37.4522543,-122.1825002,37.44055465,-122.1434916
51,2/3/15 2:12,2/3/15 2:38,82,37.4468694,-122.1608431,37.4331726,-122.1756166
52,2/3/15 2:12,2/3/15 2:36,82,37.438881,-122.159322,37.4453109,-122.185128
53,2/3/15 2:12,2/3/15 2:40,70,37.3880498,-122.0828758,37.41227637,-122.1417728
54,2/3/15 2:12,2/3/15 2:45,70,37.3903623,-122.0419328,37.369359,-122.058487
55,2/3/15 2:13,2/3/15 2:39,82,37.4447278,-122.1650292,37.45065694,-122.1614433
56,2/3/15 2:13,2/3/15 2:38,82,37.4468694,-122.1608431,37.477664,-122.175495
57,2/3/15 2:13,2/3/15 2:49,82,37.469755,-122.223439,37.457431,-122.20462
58,2/3/15 2:14,2/3/15 2:43,9,37.5160205,-122.2711921,37.513022,-122.305326
59,2/3/15 2:14,2/3/15 2:42,70,37.3977689,-122.075952,37.391767,-122.061412
60,2/3/15 2:14,2/3/15 2:43,82,37.452583,-122.18009,37.4479717,-122.1587048
61,2/3/15 2:14,2/3/15 2:34,82,37.424752,-122.144299,37.426195,-122.13126
62,2/3/15 2:14,2/3/15 2:26,82,37.4282208,-122.1428063,37.4506327,-122.1614534
63,2/3/15 2:15,2/3/15 2:54,70,37.3762161,-122.0308449,37.375051,-122.079697
64,2/3/15 2:15,2/3/15 2:37,70,37.3947415,-122.0786015,37.3927516,-122.074817
65,2/3/15 2:15,2/3/15 2:41,82,37.4935448,-122.2460213,37.475194,-122.239184
66,2/3/15 2:15,2/3/15 2:38,82,37.4778126,-122.2230701,37.463689,-122.237632
67,2/3/15 2:16,2/3/15 2:47,82,37.4446193,-122.1615783,37.44757603,-122.2011293
68,2/3/15 2:16,2/3/15 2:41,70,37.3977689,-122.075952,37.400738,-122.103392
69,2/3/15 2:16,2/3/15 2:42,9,37.5970689,-122.3671119,37.59393,-122.3644
70,2/3/15 2:16,2/3/15 2:51,70,37.3911452,-122.0809756,37.4118641,-122.0870191
71,2/3/15 2:16,2/3/15 2:48,70,37.4006774,-122.1135654,37.41046429,-122.0949297
72,2/3/15 2:17,2/3/15 2:36,82,37.425908,-122.1451859,37.41715,-122.166399
73,2/3/15 2:17,2/3/15 2:45,82,37.443701,-122.162086,37.439614,-122.189473
74,2/3/15 2:17,2/3/15 2:49,82,37.452583,-122.18009,37.430062,-122.210684
75,2/3/15 2:18,2/3/15 2:55,82,37.4433596,-122.1605025,37.42385447,-122.2020141
76,2/3/15 2:18,2/3/15 2:45,82,37.4537213,-122.1836146,37.423777,-122.1562347
77,2/3/15 2:18,2/3/15 2:44,82,37.4277705,-122.1445903,37.40593,-122.132362
78,2/3/15 2:18,2/3/15 2:49,82,37.4449773,-122.162721,37.4248916,-122.1562793
79,2/3/15 2:18,2/3/15 2:44,82,37.4513537,-122.1858487,37.4593237,-122.1417567
80,2/3/15 2:18,2/3/15 2:55,9,37.5060415,-122.2601745,37.503055,-122.269329
81,2/3/15 2:19,2/3/15 2:48,70,37.394592,-122.078631,37.39137487,-122.0810987
82,2/3/15 2:19,2/3/15 2:49,70,37.4105518,-122.0935036,37.386164,-122.056359
83,2/3/15 2:19,2/3/15 2:46,82,37.438881,-122.159322,37.4593237,-122.1417567
84,2/3/15 2:19,2/3/15 2:32,70,37.3860875,-122.0853475,37.392962,-122.081435
85,2/3/15 2:20,2/3/15 3:13,82,37.4443181,-122.163014,37.4550534,-122.1683113
86,2/3/15 2:20,2/3/15 2:54,9,37.5066257,-122.2604708,37.481923,-122.241467
87,2/3/15 2:20,2/3/15 2:26,9,37.5675637,-122.3194068,37.564095,-122.328385
88,2/3/15 2:20,2/3/15 2:37,82,37.4282208,-122.1428063,37.426618,-122.125219
89,2/3/15 2:21,2/3/15 2:48,82,37.438881,-122.159322,37.441889,-122.191446
90,2/3/15 2:21,2/3/15 2:51,70,37.3860875,-122.0853475,37.356554,-122.073268
91,2/3/15 2:21,2/3/15 3:01,82,37.4442876,-122.161778,37.4313529,-122.1776287
92,2/3/15 2:22,2/3/15 2:30,9,37.5668209,-122.3241557,37.579594,-122.378338
93,2/3/15 2:22,2/3/15 3:15,82,37.4443181,-122.163014,37.43822,-122.1499
94,2/3/15 2:22,2/3/15 2:59,70,37.401584,-122.112278,37.3989397,-122.117216
95,2/3/15 2:22,2/3/15 3:01,70,37.3762161,-122.0308449,37.392496,-122.081665
96,2/3/15 2:22,2/3/15 2:44,9,37.5356728,-122.2980297,37.5528373,-122.2538288
97,2/3/15 2:23,2/3/15 3:03,70,37.3710655,-122.0471774,37.363561,-122.022354
98,2/3/15 2:23,2/3/15 2:58,70,37.4006774,-122.1135654,37.40023,-122.0753
99,2/3/15 2:23,2/3/15 2:53,82,37.443701,-122.162086,37.4221849,-122.2031309
100,2/3/15 2:23,2/3/15 2:46,9,37.5784944,-122.344247,37.571445,-122.3501
101,2/3/15 2:23,2/3/15 2:39,9,37.5652794,-122.3229817,37.565304,-122.284866
102,2/3/15 2:24,2/3/15 2:46,9,37.5436272,-122.3083876,37.507796,-122.32132
103,2/3/15 2:24,2/3/15 2:53,82,37.438881,-122.159322,37.446464,-122.185618
104,2/3/15 2:24,2/3/15 2:50,70,37.397176,-122.104917,37.41099,-122.1135
105,2/3/15 2:24,2/3/15 2:52,82,37.4277705,-122.1445903,37.427335,-122.120989
106,2/3/15 2:25,2/3/15 2:38,9,37.5634961,-122.3236915,37.55569385,-122.3137595
107,2/3/15 2:25,2/3/15 2:45,82,37.448308,-122.1592192,37.434761,-122.147481
108,2/3/15 2:26,2/3/15 2:45,9,37.578727,-122.346389,37.580907,-122.352393
109,2/3/15 2:26,2/3/15 2:49,70,37.3937458,-122.0794181,37.368991,-122.062373
110,2/3/15 2:26,2/3/15 2:59,82,37.446389,-122.1610189,37.44873186,-122.1593273
111,2/3/15 2:26,2/3/15 3:19,82,37.4443181,-122.163014,37.435328,-122.20563
112,2/3/15 2:26,2/3/15 3:01,70,37.4162683,-122.0795184,37.4192559,-122.1495572
113,2/3/15 2:27,2/3/15 2:57,82,37.443701,-122.162086,37.4192559,-122.1495572
114,2/3/15 2:27,2/3/15 3:01,82,37.4267533,-122.1442856,37.441397,-122.173119
115,2/3/15 2:28,2/3/15 2:44,82,37.443701,-122.162086,37.452955,-122.181766
116,2/3/15 2:28,2/3/15 3:02,82,37.4455775,-122.1613168,37.42447,-122.2173
117,2/3/15 2:28,2/3/15 2:48,9,37.5783507,-122.3477079,37.56817594,-122.3913343
118,2/3/15 2:28,2/3/15 3:10,82,37.4442876,-122.161778,37.42365038,-122.1601122
119,2/3/15 2:28,2/3/15 3:07,70,37.377018,-122.0767202,37.350199,-122.117998
120,2/3/15 2:28,2/3/15 2:59,82,37.4388811,-122.1593215,37.442002,-122.134531
121,2/3/15 2:29,2/3/15 2:54,9,37.5634961,-122.3236915,37.52986,-122.29194
122,2/3/15 2:29,2/3/15 3:03,82,37.4386254,-122.1605294,37.4302197,-122.1881607
123,2/3/15 2:29,2/3/15 2:58,82,37.438881,-122.159322,37.4188429,-122.2092006
124,2/3/15 2:30,2/3/15 3:01,82,37.4454652,-122.1601908,37.4226183,-122.2012892
125,2/3/15 2:30,2/3/15 2:56,70,37.392465,-122.0799089,37.4135361,-122.09444
126,2/3/15 2:30,2/3/15 3:04,82,37.4455775,-122.1613168,37.438258,-122.220293
127,2/3/15 2:30,2/3/15 3:04,70,37.4006774,-122.1135654,37.419065,-122.164336
128,2/3/15 2:30,2/3/15 2:56,82,37.4435095,-122.1610831,37.46381581,-122.1724202
129,2/3/15 2:30,2/3/15 2:48,82,37.4450091,-122.1631489,37.43441,-122.202669
130,2/3/15 2:30,2/3/15 2:50,70,37.3785981,-122.1165259,37.41689682,-122.1138501
131,2/3/15 2:31,2/3/15 3:00,70,37.397176,-122.104917,37.436874,-122.143586
132,2/3/15 2:31,2/3/15 2:55,82,37.452583,-122.18009,37.444042,-122.148934
133,2/3/15 2:32,2/3/15 3:07,82,37.447061,-122.160918,37.4314328,-122.1897705
134,2/3/15 2:33,2/3/15 2:56,70,37.402987,-122.1066707,37.4175033,-122.0894899
135,2/3/15 2:33,2/3/15 3:00,70,37.392465,-122.0799089,37.3852509,-122.070628
136,2/3/15 2:33,2/3/15 3:09,70,37.394284,-122.078388,37.403421,-122.061741
137,2/3/15 2:33,2/3/15 2:51,82,37.4137395,-122.125722,37.4469855,-122.1682364
138,2/3/15 2:33,2/3/15 3:00,70,37.3977689,-122.075952,37.3918709,-122.0636164
139,2/3/15 2:33,2/3/15 2:53,9,37.502914,-122.2565352,37.491386,-122.26068
140,2/3/15 2:35,2/3/15 2:59,82,37.4322538,-122.2021786,37.43952791,-122.2426876
